序号,SoundType,SoundFile,事件类型备注,台词范例,Count,Weights,台词,ResFileName
22,advisor_notification_colony_established,advisor_notification_colony_established,殖民地建立完成,殖民地基础建设完毕，请进行下一步建设,1,1000,殖民地基础建设完毕，请进行下一步建设,A1-0022_阿米娅mod配音.wav
23,advisor_notification_colony_established,advisor_notification_colony_established,殖民地建立完成,殖民地基础建设完毕，请进行下一步建设,2,1000,殖民早期工作已完成,A1-0023_阿米娅mod配音.wav
24,advisor_notification_colony_established,advisor_notification_colony_established,殖民地建立完成,殖民地基础建设完毕，请进行下一步建设,3,1000,我们已在这片大地完成基地建设,A1-0024_阿米娅mod配音.wav
25,advisor_notification_colony_ship_destroyed_01,advisor_notification_colony_ship_destroyed,殖民船被摧毁,太不幸了，我们的一艘殖民船被摧毁,1,1000,太不幸了，我们的一艘殖民船被摧毁,A1-0025_阿米娅mod配音.wav
26,advisor_notification_colony_ship_destroyed_01,advisor_notification_colony_ship_destroyed,殖民船被摧毁,太不幸了，我们的一艘殖民船被摧毁,2,1000,一艘殖民船被摧毁,A1-0026_阿米娅mod配音.wav
27,advisor_notification_colony_ship_destroyed_01,advisor_notification_colony_ship_destroyed,殖民船被摧毁,太不幸了，我们的一艘殖民船被摧毁,3,1000,殖民船被摧毁，上面的民众已经…………,A1-0027_阿米娅mod配音.wav
28,advisor_notification_colony_ship_under_attack,advisor_notification_colony_ship_under_attack,殖民船遭到攻击,我们的殖民船正遭到攻击,1,1000,我们的殖民船正遭到攻击,A1-0028_阿米娅mod配音.wav
29,advisor_notification_colony_ship_under_attack,advisor_notification_colony_ship_under_attack,殖民船遭到攻击,我们的殖民船正遭到攻击,2,1000,警告，我们的殖民船正遭到攻击,A1-0029_阿米娅mod配音.wav
30,advisor_notification_colony_ship_under_attack,advisor_notification_colony_ship_under_attack,殖民船遭到攻击,我们的殖民船正遭到攻击,3,1000,殖民船正遭到攻击，他们无法反击,A1-0030_阿米娅mod配音.wav
31,advisor_notification_construction_complete,advisor_notification_construction_complete,建设完毕,建筑施工完毕,1,1000,建筑施工已完成,A1-0031_阿米娅mod配音.wav
32,advisor_notification_construction_complete,advisor_notification_construction_complete,建设完毕,建筑施工完毕,2,1000,建筑施工完毕,A1-0032_阿米娅mod配音.wav
33,advisor_notification_construction_complete,advisor_notification_construction_complete,建设完毕,建筑施工完毕,3,1000,建筑模块组接完成…,A1-0033_阿米娅mod配音.wav
34,advisor_notification_construction_ship_destroyed,advisor_notification_construction_ship_destroyed,工程船被摧毁,我们的一艘工程船已被摧毁,1,1000,工程船已被摧毁,A1-0034_阿米娅mod配音.wav
35,advisor_notification_construction_ship_destroyed,advisor_notification_construction_ship_destroyed,工程船被摧毁,我们的一艘工程船已被摧毁,2,1000,我们的一艘工程船已被摧毁,A1-0035_阿米娅mod配音.wav
36,advisor_notification_construction_ship_destroyed,advisor_notification_construction_ship_destroyed,工程船被摧毁,我们的一艘工程船已被摧毁,3,1000,工程船已变为残骸,A1-0036_阿米娅mod配音.wav
37,advisor_notification_construction_ship_under_attack,advisor_notification_construction_ship_under_attack,工程船遭到攻击,工程船正遭到攻击,1,1000,工程船正遭到攻击,A1-0037_阿米娅mod配音.wav
38,advisor_notification_construction_ship_under_attack,advisor_notification_construction_ship_under_attack,工程船遭到攻击,工程船正遭到攻击,2,1000,我们的一艘工程船出现异常,A1-0038_阿米娅mod配音.wav
39,advisor_notification_construction_ship_under_attack,advisor_notification_construction_ship_under_attack,工程船遭到攻击,工程船正遭到攻击,3,1000,工程船受到攻击,A1-0039_阿米娅mod配音.wav
40,advisor_notification_debris_analysed,advisor_notification_debris_analysed,残骸分析完毕,残骸分析完毕，找到了什么有用的东西吗？,1,1000,残骸分析完毕，找到了什么有用的东西吗？,A1-0040_阿米娅mod配音.wav
41,advisor_notification_debris_analysed,advisor_notification_debris_analysed,残骸分析完毕,残骸分析完毕，找到了什么有用的东西吗？,2,1000,残骸分析完成,A1-0041_阿米娅mod配音.wav
42,advisor_notification_debris_analysed,advisor_notification_debris_analysed,残骸分析完毕,残骸分析完毕，找到了什么有用的东西吗？,3,1000,残骸分析完毕,A1-0042_阿米娅mod配音.wav
43,advisor_notification_discovery_detected,advisor_notification_discovery_detected,发现异常现象,发现异常现象，真令人好奇,1,1000,发现异常现象，真令人好奇,A1-0043_阿米娅mod配音.wav
44,advisor_notification_discovery_detected,advisor_notification_discovery_detected,发现异常现象,发现异常现象，真令人好奇,2,1000,发现异常现象，请保持警惕,A1-0044_阿米娅mod配音.wav
45,advisor_notification_discovery_detected,advisor_notification_discovery_detected,发现异常现象,发现异常现象，真令人好奇,3,1000,我们的科学家发现了一处异常现象,A1-0045_阿米娅mod配音.wav
46,advisor_notification_enemy_declared_war,advisor_notification_enemy_declared_war,我们被宣战,我们将誓死守卫我们的文明,1,1000,我们将誓死守卫我们的文明,A1-0046_阿米娅mod配音.wav
47,advisor_notification_enemy_declared_war,advisor_notification_enemy_declared_war,我们被宣战,我们将誓死守卫我们的文明,2,1000,我们将守护这片大地,A1-0047_阿米娅mod配音.wav
48,advisor_notification_enemy_declared_war,advisor_notification_enemy_declared_war,我们被宣战,我们将誓死守卫我们的文明,3,1000,文明的存续，这里不是终点,A1-0048_阿米娅mod配音.wav
49,advisor_notification_enemy_invasion_defeated,advisor_notification_enemy_invasion_defeated,敌人的陆军入侵已被击退,太棒了，我们击退了敌人的登陆军队,1,1000,太棒了，我们击退了敌人的登陆军队,A1-0049_阿米娅mod配音.wav
50,advisor_notification_enemy_invasion_defeated,advisor_notification_enemy_invasion_defeated,敌人的陆军入侵已被击退,太棒了，我们击退了敌人的登陆军队,2,1000,敌人的登陆军队已被击退,A1-0050_阿米娅mod配音.wav
51,advisor_notification_enemy_invasion_defeated,advisor_notification_enemy_invasion_defeated,敌人的陆军入侵已被击退,太棒了，我们击退了敌人的登陆军队,3,1000,敌人的登陆计划已失败,A1-0051_阿米娅mod配音.wav
52,advisor_notification_enemy_troops_landing,advisor_notification_enemy_troops_landing,敌人的陆军正在登陆作战,想想办法！我们的一颗行星正遭到入侵,1,1000,想想办法！我们的一颗行星正遭到入侵,A1-0052_阿米娅mod配音.wav
53,advisor_notification_enemy_troops_landing,advisor_notification_enemy_troops_landing,敌人的陆军正在登陆作战,想想办法！我们的一颗行星正遭到入侵,2,1000,我们的一颗行星正遭到入侵，伤亡计算中,A1-0053_阿米娅mod配音.wav
54,advisor_notification_enemy_troops_landing,advisor_notification_enemy_troops_landing,敌人的陆军正在登陆作战,想想办法！我们的一颗行星正遭到入侵,3,1000,一颗行星遭到入侵，人民正在抗击,A1-0054_阿米娅mod配音.wav
55,advisor_notification_evade_hostile_fleet,advisor_notification_evade_hostile_fleet,正在规避敌对舰队,正在规避敌人的舰队，请大家小心,1,1000,曲速引擎过载警告！正在规避敌方雷达,A1-0055_阿米娅mod配音.wav
56,advisor_notification_evade_hostile_fleet,advisor_notification_evade_hostile_fleet,正在规避敌对舰队,正在规避敌人的舰队，请大家小心,2,1000,导航系统建议放弃当前星系…,A1-0056_阿米娅mod配音.wav
57,advisor_notification_evade_hostile_fleet,advisor_notification_evade_hostile_fleet,正在规避敌对舰队,正在规避敌人的舰队，请大家小心,3,1000,正在规避敌人的舰队，请大家小心,A1-0057_阿米娅mod配音.wav
58,advisor_notification_federation_formed,advisor_notification_federation_formed,我方已建立联盟,我们将团结更多的文明，一同迈向未来,1,1000,跨星系盟约签署完成...这次不会重蹈卡兹戴尔的覆辙，共享的星图比独占的军备更有力量,A1-0058_阿米娅mod配音.wav
59,advisor_notification_federation_formed,advisor_notification_federation_formed,我方已建立联盟,我们将团结更多的文明，一同迈向未来,2,1000,文明联结协议生效...警惕过于完美的盟友,A1-0059_阿米娅mod配音.wav
60,advisor_notification_federation_formed,advisor_notification_federation_formed,我方已建立联盟,我们将团结更多的文明，一同迈向未来,3,1000,收到多个文明加入申请...星火开始燎原了,A1-0060_阿米娅mod配音.wav
61,advisor_notification_fleet_destroyed,advisor_notification_fleet_destroyed,我方舰队被摧毁,前方战报，我们的一只舰队被摧毁了,1,1000,前方战报，我们的一只舰队被摧毁了,A1-0061_阿米娅mod配音.wav
62,advisor_notification_fleet_destroyed,advisor_notification_fleet_destroyed,我方舰队被摧毁,前方战报，我们的一只舰队被摧毁了,2,1000,战损报告确认...他们的名字已录入失踪者名单,A1-0062_阿米娅mod配音.wav
63,advisor_notification_fleet_destroyed,advisor_notification_fleet_destroyed,我方舰队被摧毁,前方战报，我们的一只舰队被摧毁了,3,1000,舰队信号消失...这些碎片会飘向哪里？,A1-0063_阿米娅mod配音.wav
64,advisor_notification_fleet_detected,advisor_notification_fleet_detected,侦测到敌方舰队,报告！我们发现了一只敌对舰队,1,1000,重力井边缘出现未知舰群…,A1-0064_阿米娅mod配音.wav
65,advisor_notification_fleet_detected,advisor_notification_fleet_detected,侦测到敌方舰队,报告！我们发现了一只敌对舰队,2,1000,十二点钟方向侦测到跃迁闪光…,A1-0065_阿米娅mod配音.wav
66,advisor_notification_fleet_detected,advisor_notification_fleet_detected,侦测到敌方舰队,报告！我们发现了一只敌对舰队,3,1000,舰载系统识别出敌对舰队信号...,A1-0066_阿米娅mod配音.wav
67,advisor_notification_frontier_outpost_lost,advisor_notification_frontier_outpost_lost,我方边防哨所已被摧毁,我们的一座前哨站已经失去联系,1,1000,我们的一座前哨站已经失去联系,A1-0067_阿米娅mod配音.wav
68,advisor_notification_frontier_outpost_lost,advisor_notification_frontier_outpost_lost,我方边防哨所已被摧毁,我们的一座前哨站已经失去联系,2,1000,一座前哨站被入侵,A1-0068_阿米娅mod配音.wav
69,advisor_notification_frontier_outpost_lost,advisor_notification_frontier_outpost_lost,我方边防哨所已被摧毁,我们的一座前哨站已经失去联系,3,1000,一座前哨站被摧毁,A1-0069_阿米娅mod配音.wav
70,advisor_notification_generic_war_declare,advisor_notification_generic_war_declare,其他国家彼此宣战,有其他文明间爆发了战争,1,1000,检测到文明级冲突…,A1-0070_阿米娅mod配音.wav
71,advisor_notification_generic_war_declare,advisor_notification_generic_war_declare,其他国家彼此宣战,有其他文明间爆发了战争,2,1000,特蕾西娅，为什么大家不能分享星星呢？,A1-0071_阿米娅mod配音.wav
72,advisor_notification_generic_war_declare,advisor_notification_generic_war_declare,其他国家彼此宣战,有其他文明间爆发了战争,3,1000,宇宙中爆发了一场战争,A1-0072_阿米娅mod配音.wav
73,advisor_notification_hostile_fleet_detected,advisor_notification_hostile_fleet_detected,敌军舰队已被摧毁,前方战报，已摧毁一支敌方舰队,1,1000,前方战报，已摧毁一支敌方舰队,A1-0073_阿米娅mod配音.wav
74,advisor_notification_hostile_fleet_detected,advisor_notification_hostile_fleet_detected,敌军舰队已被摧毁,前方战报，已摧毁一支敌方舰队,2,1000,已摧毁一支敌方舰队，我方战损确认中,A1-0074_阿米娅mod配音.wav
75,advisor_notification_hostile_fleet_detected,advisor_notification_hostile_fleet_detected,敌军舰队已被摧毁,前方战报，已摧毁一支敌方舰队,3,1000,已摧毁一支敌方舰队，不要轻敌哦,A1-0075_阿米娅mod配音.wav
76,advisor_notification_hostile_fleet_engaged,advisor_notification_hostile_fleet_engaged,与敌军舰队交战,我们正在与敌方舰队交战,1,1000,我们正在与敌方舰队交战,A1-0076_阿米娅mod配音.wav
77,advisor_notification_hostile_fleet_engaged,advisor_notification_hostile_fleet_engaged,与敌军舰队交战,我们正在与敌方舰队交战,2,1000,舰队正在交战，指挥系统运作中,A1-0077_阿米娅mod配音.wav
78,advisor_notification_hostile_fleet_engaged,advisor_notification_hostile_fleet_engaged,与敌军舰队交战,我们正在与敌方舰队交战,3,1000,舰队正在交战，正在展开战线,A1-0078_阿米娅mod配音.wav
79,advisor_notification_hostile_station_engaged,advisor_notification_hostile_station_engaged,与敌军空间站交火,我们正在攻击敌方空间站,1,1000,我们正在攻击敌方空间站,A1-0079_阿米娅mod配音.wav
80,advisor_notification_hostile_station_engaged,advisor_notification_hostile_station_engaged,与敌军空间站交火,我们正在攻击敌方空间站,2,1000,我们正在与敌方空间站交火,A1-0080_阿米娅mod配音.wav
81,advisor_notification_hostile_station_engaged,advisor_notification_hostile_station_engaged,与敌军空间站交火,我们正在攻击敌方空间站,3,1000,敌方空间站正在抵抗,A1-0081_阿米娅mod配音.wav
82,advisor_notification_incoming_transmission,advisor_notification_incoming_transmission,通讯信息传入,有新的通讯传入，快来看看吧,1,1000,有新的通讯传入，快来看看吧,A1-0082_阿米娅mod配音.wav
83,advisor_notification_incoming_transmission,advisor_notification_incoming_transmission,通讯信息传入,有新的通讯传入，快来看看吧,2,1000,有新的通讯传入，是什么呢,A1-0083_阿米娅mod配音.wav
84,advisor_notification_incoming_transmission,advisor_notification_incoming_transmission,通讯信息传入,有新的通讯传入，快来看看吧,3,1000,有新的通讯传入，翻译系统已启用,A1-0084_阿米娅mod配音.wav
85,advisor_notification_invasion_enemy_won,advisor_notification_invasion_enemy_won,敌军入侵殖民地成功,太遗憾了，敌人夺走了我们的一个殖民地,1,1000,太遗憾了，敌人夺走了我们的一个殖民地,A1-0085_阿米娅mod配音.wav
86,advisor_notification_invasion_enemy_won,advisor_notification_invasion_enemy_won,敌军入侵殖民地成功,太遗憾了，敌人夺走了我们的一个殖民地,2,1000,一个殖民地被侵占，准备下一步行动吧,A1-0086_阿米娅mod配音.wav
87,advisor_notification_invasion_enemy_won,advisor_notification_invasion_enemy_won,敌军入侵殖民地成功,太遗憾了，敌人夺走了我们的一个殖民地,3,1000,殖民地被侵占，我们不会放弃他们,A1-0087_阿米娅mod配音.wav
88,advisor_notification_invasion_failed,advisor_notification_invasion_failed,我方入侵殖民地失败,太棒了，我们的殖民地的人民抵挡了敌人的入侵,1,1000,太棒了，我们的人民抵挡了敌人的入侵,A1-0088_阿米娅mod配音.wav
89,advisor_notification_invasion_failed,advisor_notification_invasion_failed,我方入侵殖民地失败,太棒了，我们的殖民地的人民抵挡了敌人的入侵,2,1000,敌方的入侵失败了，这是必然的,A1-0089_阿米娅mod配音.wav
90,advisor_notification_invasion_failed,advisor_notification_invasion_failed,我方入侵殖民地失败,太棒了，我们的殖民地的人民抵挡了敌人的入侵,3,1000,我们的殖民地抵挡了敌人的入侵,A1-0090_阿米娅mod配音.wav
91,advisor_notification_invasion_progress,advisor_notification_invasion_progress,我方开始入侵殖民地,我们的陆军正在执行登陆任务,1,1000,我们的陆军正在执行登陆任务,A1-0091_阿米娅mod配音.wav
92,advisor_notification_invasion_progress,advisor_notification_invasion_progress,我方开始入侵殖民地,我们的陆军正在执行登陆任务,2,1000,登陆作战已开启,A1-0092_阿米娅mod配音.wav
93,advisor_notification_invasion_progress,advisor_notification_invasion_progress,我方开始入侵殖民地,我们的陆军正在执行登陆任务,3,1000,登陆作战进行中,A1-0093_阿米娅mod配音.wav
94,advisor_notification_invasion_success,advisor_notification_invasion_success,我方成功入侵行星殖民地,计划进展顺利，我们已经占领了一个敌对行星,1,1000,计划进展顺利，我们已经占领了一个敌对行星,A1-0094_阿米娅mod配音.wav
95,advisor_notification_invasion_success,advisor_notification_invasion_success,我方成功入侵行星殖民地,计划进展顺利，我们已经占领了一个敌对行星,2,1000,我们已经解放了一个敌对行星,A1-0095_阿米娅mod配音.wav
96,advisor_notification_invasion_success,advisor_notification_invasion_success,我方成功入侵行星殖民地,计划进展顺利，我们已经占领了一个敌对行星,3,1000,我们夺取了一个敌对行星,A1-0096_阿米娅mod配音.wav
97,advisor_notification_military_station_lost,advisor_notification_military_station_lost,我方军用哨站已被摧毁,我们的一座防御空间站被摧毁了,1,1000,轨道防御平台信号消失…,A1-0097_阿米娅mod配音.wav
98,advisor_notification_military_station_lost,advisor_notification_military_station_lost,我方军用哨站已被摧毁,我们的一座防御空间站被摧毁了,2,1000,警告，我们的防御空间站被摧毁了,A1-0098_阿米娅mod配音.wav
99,advisor_notification_military_station_lost,advisor_notification_military_station_lost,我方军用哨站已被摧毁,我们的一座防御空间站被摧毁了,3,1000,空间站被摧毁，星区防线缺口确认中...,A1-0099_阿米娅mod配音.wav
100,advisor_notification_mining_station_lost,advisor_notification_mining_station_lost,我方开采站已被摧毁,我们的一座开采站失去了联系,1,1000,矿物采集站离线…,A1-0100_阿米娅mod配音.wav
101,advisor_notification_mining_station_lost,advisor_notification_mining_station_lost,我方开采站已被摧毁,我们的一座开采站失去了联系,2,1000,工业开采站毁灭已确认...,A1-0101_阿米娅mod配音.wav
102,advisor_notification_mining_station_lost,advisor_notification_mining_station_lost,我方开采站已被摧毁,我们的一座开采站失去了联系,3,1000,开采站坏掉了，怎么回事呢？,A1-0102_阿米娅mod配音.wav
103,advisor_notification_observation_post_lost,advisor_notification_observation_post_lost,我方观测站已被摧毁,一座观测站被摧毁，数据已备份,1,1000,一座观测站被摧毁，数据已备份,A1-0103_阿米娅mod配音.wav
104,advisor_notification_observation_post_lost,advisor_notification_observation_post_lost,我方观测站已被摧毁,一座观测站被摧毁，数据已备份,2,1000,观测站被摧毁，数据抢救完成...,A1-0104_阿米娅mod配音.wav
105,advisor_notification_observation_post_lost,advisor_notification_observation_post_lost,我方观测站已被摧毁,一座观测站被摧毁，数据已备份,3,1000,观测站已解体,A1-0105_阿米娅mod配音.wav
106,advisor_notification_planet_in_revolt,advisor_notification_planet_in_revolt,我方行星出现叛乱起义,不妙，我们的一座行星发生了叛乱,1,1000,暴动升级...能听听你们的诉求吗？,A1-0106_阿米娅mod配音.wav
107,advisor_notification_planet_in_revolt,advisor_notification_planet_in_revolt,我方行星出现叛乱起义,不妙，我们的一座行星发生了叛乱,2,1000,检测到与切城事件相似的社会学模型...自动化镇压程序已过载,A1-0107_阿米娅mod配音.wav
108,advisor_notification_planet_in_revolt,advisor_notification_planet_in_revolt,我方行星出现叛乱起义,不妙，我们的一座行星发生了叛乱,3,1000,叛乱领袖正在广播…我申请亲自执行地面接触任务,A1-0108_阿米娅mod配音.wav
109,advisor_notification_player_declare_war,advisor_notification_player_declare_war,我方宣战,两个文明的矛盾已经无法调和，我们必须面对战争,1,1000,两个文明的矛盾已经无法调和，我们必须面对战争,A1-0109_阿米娅mod配音.wav
110,advisor_notification_player_declare_war,advisor_notification_player_declare_war,我方宣战,两个文明的矛盾已经无法调和，我们必须面对战争,2,1000,战争，从未改变,A1-0110_阿米娅mod配音.wav
111,advisor_notification_player_declare_war,advisor_notification_player_declare_war,我方宣战,两个文明的矛盾已经无法调和，我们必须面对战争,3,1000,我不想走到这一步，但战争无法避免,A1-0111_阿米娅mod配音.wav
112,advisor_notification_pre_sapient_uplifted,advisor_notification_pre_sapient_uplifted,物种开化提升完毕,物种提升完成，欢迎他们,1,1000,物种提升完成，欢迎你们加入新的舞台。,A1-0112_阿米娅mod配音.wav
113,advisor_notification_pre_sapient_uplifted,advisor_notification_pre_sapient_uplifted,物种开化提升完毕,物种提升完成，欢迎他们,2,1000,物种提升已完成,A1-0113_阿米娅mod配音.wav
114,advisor_notification_pre_sapient_uplifted,advisor_notification_pre_sapient_uplifted,物种开化提升完毕,物种提升完成，欢迎他们,3,1000,物种提升已完成,A1-0114_阿米娅mod配音.wav
115,advisor_notification_primitive_enlighted,advisor_notification_primitive_enlighted,土著文明被启发,弱小的文明收到启发，即将加入这片星海,1,1000,弱小的文明收到启发，即将加入这片星海,A1-0115_阿米娅mod配音.wav
116,advisor_notification_primitive_enlighted,advisor_notification_primitive_enlighted,土著文明被启发,弱小的文明收到启发，即将加入这片星海,2,1000,前超光速文明进入了太空,A1-0116_阿米娅mod配音.wav
117,advisor_notification_primitive_enlighted,advisor_notification_primitive_enlighted,土著文明被启发,弱小的文明收到启发，即将加入这片星海,3,1000,有新的文明挣脱了大地的引力,A1-0117_阿米娅mod配音.wav
118,advisor_notification_research_complete,advisor_notification_research_complete,研究完成,新的科学研究已经完成,1,1000,新的科学研究已经完成,A1-0118_阿米娅mod配音.wav
119,advisor_notification_research_complete,advisor_notification_research_complete,研究完成,新的科学研究已经完成,2,1000,研究完成，感谢科研部门的努力,A1-0119_阿米娅mod配音.wav
120,advisor_notification_research_complete,advisor_notification_research_complete,研究完成,新的科学研究已经完成,3,1000,研究完成，我们距离真相又近了一步,A1-0120_阿米娅mod配音.wav
121,advisor_notification_research_station_lost,advisor_notification_research_station_lost,科研站被摧毁,我们的一座科研站被失去了讯息,1,1000,我们的一座科研站失去了讯息,A1-0121_阿米娅mod配音.wav
122,advisor_notification_research_station_lost,advisor_notification_research_station_lost,科研站被摧毁,我们的一座科研站被失去了讯息,2,1000,一座科研站失去了讯息，那里的科学家已经……,A1-0122_阿米娅mod配音.wav
123,advisor_notification_research_station_lost,advisor_notification_research_station_lost,科研站被摧毁,我们的一座科研站被失去了讯息,3,1000,科研站被摧毁了，请求救援,A1-0123_阿米娅mod配音.wav
124,advisor_notification_science_ship_destroyed,advisor_notification_science_ship_destroyed,科研船被摧毁,我们的科研船被摧毁,1,1000,我们的科研船被摧毁了,A1-0124_阿米娅mod配音.wav
125,advisor_notification_science_ship_destroyed,advisor_notification_science_ship_destroyed,科研船被摧毁,我们的科研船被摧毁,2,1000,科研船被摧毁了，请求救援,A1-0125_阿米娅mod配音.wav
126,advisor_notification_science_ship_destroyed,advisor_notification_science_ship_destroyed,科研船被摧毁,我们的科研船被摧毁,3,1000,科研船被摧毁，科学家已失联,A1-0126_阿米娅mod配音.wav
127,advisor_notification_science_ship_under_attack,advisor_notification_science_ship_under_attack,科研船遭到攻击,科研船遭到攻击，请进行回避,1,1000,科研船遭到攻击，请进行回避,A1-0127_阿米娅mod配音.wav
128,advisor_notification_science_ship_under_attack,advisor_notification_science_ship_under_attack,科研船遭到攻击,科研船遭到攻击，请进行回避,2,1000,警告，有科研船遭到攻击,A1-0128_阿米娅mod配音.wav
129,advisor_notification_science_ship_under_attack,advisor_notification_science_ship_under_attack,科研船遭到攻击,科研船遭到攻击，请进行回避,3,1000,我们的一艘科研船遇到了危险,A1-0129_阿米娅mod配音.wav
130,advisor_notification_ships_upgraded,advisor_notification_ships_upgraded,舰队升级完成,舰队升级完成,1,1000,舰队升级已完成,A1-0130_阿米娅mod配音.wav
131,advisor_notification_ships_upgraded,advisor_notification_ships_upgraded,舰队升级完成,舰队升级完成,2,1000,舰队升级完成，去试验一下吧,A1-0131_阿米娅mod配音.wav
132,advisor_notification_ships_upgraded,advisor_notification_ships_upgraded,舰队升级完成,舰队升级完成,3,1000,工程部传来讯息，舰队武装已升级,A1-0132_阿米娅mod配音.wav
133,advisor_notification_situation_log,advisor_notification_situation_log,讯息日志更新,通讯日志已更新，来看看吧,1,1000,邮件系统过载…快去看看吧,A1-0133_阿米娅mod配音.wav
134,advisor_notification_situation_log,advisor_notification_situation_log,讯息日志更新,通讯日志已更新，来看看吧,2,1000,通讯日志已更新，一起看看吧,A1-0134_阿米娅mod配音.wav
135,advisor_notification_situation_log,advisor_notification_situation_log,讯息日志更新,通讯日志已更新，来看看吧,3,1000,通讯日志分类完成，这是我整理的重要信息,A1-0135_阿米娅mod配音.wav
136,advisor_notification_spaceborne_encounter,advisor_notification_spaceborne_encounter,发现新太空物种,我们遭遇了新的太空物种,1,1000,我们遭遇了新的太空物种,A1-0136_阿米娅mod配音.wav
137,advisor_notification_spaceborne_encounter,advisor_notification_spaceborne_encounter,发现新太空物种,我们遭遇了新的太空物种,2,1000,我们发现了新的太空物种,A1-0137_阿米娅mod配音.wav
138,advisor_notification_spaceborne_encounter,advisor_notification_spaceborne_encounter,发现新太空物种,我们遭遇了新的太空物种,3,1000,快看，是新的小动物,A1-0138_阿米娅mod配音.wav
